Id;Id Orden;Referencia;Valor;Valor del envío;Estado;Moneda;Medio de pago;País;Valor local;Moneda local;Código de respuesta;Tipo de rechazo;Código autorización;Fecha de creación;Id Comercio;Id Cuenta;Modelo Pagos;Número de tarjeta;Número de cuotas;Device session id;Hash;Tipo de transacción;Modelo de acreditación;Días para Depósito;Tasa de interés comercio;Valor interés comercio;Valor de Cuota;Cuota Abonada;Origen de la transacción;
"bfd58849-8517-42a0-87e4-af454456aae3";"97743700";"U127506L16P1";"24.70";"";"PENDING";"USD";"Oxxo";"MX";"414.53";"MXN";"PENDING_TRANSACTION_CONFIRMATION";"NONE";"";"2015-10-04 22:59:07";"500968";"501789";"AGGREGATOR";"";"1";"";"d40657d1e13d5a347e9694b0e82c2265";"AUTHORIZATION_AND_CAPTURE";"";"0";"";"";"";"";"POST_API_v4_0";
"e023a494-cf21-41d6-a686-6108e288c594";"97739754";"U127482L20P3";"24.70";"";"PENDING";"USD";"Oxxo";"MX";"414.53";"MXN";"PENDING_TRANSACTION_CONFIRMATION";"NONE";"";"2015-10-04 19:37:18";"500968";"501789";"AGGREGATOR";"";"1";"";"9ee91cc0f7391451726fc3cdcba49627";"AUTHORIZATION_AND_CAPTURE";"";"0";"";"";"";"";"POST_API_v4_0";
"c12b532f-2a9c-4cb5-b1a6-0ade4ecac81d";"97734350";"U127469L20P6";"34.95";"";"PENDING";"USD";"Oxxo";"MX";"585.69";"MXN";"PENDING_TRANSACTION_CONFIRMATION";"NONE";"";"2015-10-04 16:06:16";"500968";"501789";"AGGREGATOR";"";"1";"";"65bad26de6775be514f88d8362e611e9";"AUTHORIZATION_AND_CAPTURE";"";"0";"";"";"";"";"POST_API_v4_0";
"90450d55-b870-412e-88d9-f67063c7d809";"97733521";"U127464L14P1";"24.70";"";"PENDING";"USD";"Oxxo";"MX";"413.92";"MXN";"PENDING_TRANSACTION_CONFIRMATION";"NONE";"";"2015-10-04 15:22:26";"500968";"501789";"AGGREGATOR";"";"1";"";"9319c78a1d54ee78032dd5bf6779766f";"AUTHORIZATION_AND_CAPTURE";"";"0";"";"";"";"";"POST_API_v4_0";
"aba0e849-ca5e-43ad-8e2a-2aafd7407e77";"97732806";"U127460L15P6";"34.95";"";"PENDING";"USD";"Oxxo";"MX";"585.69";"MXN";"PENDING_TRANSACTION_CONFIRMATION";"NONE";"";"2015-10-04 14:59:51";"500968";"501789";"AGGREGATOR";"";"1";"";"be64e991f82ebcf841c64285366b7e9c";"AUTHORIZATION_AND_CAPTURE";"";"0";"";"";"";"";"POST_API_v4_0";
"02e508f8-cce6-42d3-b5bf-2e8f8c383899";"97732901";"U127451L16P3";"24.70";"";"PENDING";"USD";"Oxxo";"MX";"413.92";"MXN";"PENDING_TRANSACTION_CONFIRMATION";"NONE";"";"2015-10-04 14:49:28";"500968";"501789";"AGGREGATOR";"";"1";"";"07f0021cac52b56b890235ea25dd9cd8";"AUTHORIZATION_AND_CAPTURE";"";"0";"";"";"";"";"POST_API_v4_0";
"7cf6dc18-7a87-4011-8d10-96514f70492b";"97729163";"40543";"24.70";"";"PENDING";"USD";"Oxxo";"MX";"413.92";"MXN";"PENDING_TRANSACTION_CONFIRMATION";"NONE";"";"2015-10-04 11:54:19";"500968";"501789";"AGGREGATOR";"";"1";"";"103a1cd1979066eb5b6176fa5b24c0d1";"AUTHORIZATION_AND_CAPTURE";"";"0";"";"";"";"";"POST_API_v4_0";
"ecebd7d2-f0e3-4726-8d2d-fce8cbed1965";"97727338";"U127422L20P3";"24.70";"";"PENDING";"USD";"Oxxo";"MX";"413.92";"MXN";"PENDING_TRANSACTION_CONFIRMATION";"NONE";"";"2015-10-04 11:11:22";"500968";"501789";"AGGREGATOR";"";"1";"";"d162fde783ef451425fdd51053268ce3";"AUTHORIZATION_AND_CAPTURE";"";"0";"";"";"";"";"POST_API_v4_0";
"ea96bb28-bf1f-4b63-8bdf-2cf28ed3a707";"97718966";"U111734L20P6";"34.95";"";"PENDING";"USD";"Oxxo";"MX";"585.69";"MXN";"PENDING_TRANSACTION_CONFIRMATION";"NONE";"";"2015-10-04 06:52:58";"500968";"501789";"AGGREGATOR";"";"1";"";"42a3dd5bbb272a1e148ea62caf55f8eb";"AUTHORIZATION_AND_CAPTURE";"";"0";"";"";"";"";"POST_API_v4_0";
"060855c2-f2d4-4ff0-a2a0-3f924859b3e0";"97717501";"40540";"24.70";"";"PENDING";"USD";"Oxxo";"MX";"413.92";"MXN";"PENDING_TRANSACTION_CONFIRMATION";"NONE";"";"2015-10-03 22:56:42";"500968";"501789";"AGGREGATOR";"";"1";"";"a75ef2b5ed5e4f6230b9c92522387050";"AUTHORIZATION_AND_CAPTURE";"";"0";"";"";"";"";"POST_API_v4_0";
